Distance T,Temperature (Celsius),Distance CH4,CH4,Distance O2,O2,Distance H2,H2,Distance CO,CO,Distance H2O,H2O,Distance CO2,CO2
-4.891,107.784,-4.921,0.062,-4.891,0.03,-3.824,0,-3.851,0,-4.861,0,-4.831,0
-4.725,113.772,-4.664,0.062,-4.695,0.03,-3.566,0,-3.62,0,-4.664,0,-4.544,0
-4.544,116.766,-4.453,0.062,-4.513,0.03,-3.348,0,-3.403,0,-4.453,0.001,-4.332,0
-4.302,122.754,-4.211,0.062,-4.332,0.03,-3.131,0,-3.186,0,-4.211,0.001,-4.03,0
-4.151,125.749,-3.97,0.062,-4.151,0.03,-2.914,0,-2.941,0,-4.03,0,-3.668,0
-3.97,128.743,-3.758,0.062,-3.97,0.031,-2.67,0,-2.778,0,-3.819,0,-3.366,0
-3.819,134.731,-3.577,0.062,-3.789,0.03,-2.48,0,-2.561,0,-3.668,0.001,-3.064,0
-3.638,140.719,-3.366,0.062,-3.607,0.03,-2.235,0,-2.398,0,-3.456,0,-2.701,0
-3.456,146.707,-3.185,0.062,-3.456,0.031,-2.018,0,-2.154,0,-3.245,0,-2.399,0
-3.275,152.695,-3.034,0.061,-3.275,0.031,-1.774,0,-1.964,0,-3.064,0.001,-2.158,0.001
-3.124,164.671,-2.852,0.061,-3.094,0.031,-1.557,0,-1.774,0,-2.852,0.001,-1.856,0.001
-2.943,170.659,-2.641,0.062,-2.913,0.031,-1.367,0,-1.584,0,-2.671,0.001,-1.644,0.001
-2.762,179.641,-2.49,0.062,-2.732,0.031,-1.149,0,-1.394,0,-2.49,0,-1.342,0.001
-2.55,188.623,-2.339,0.062,-2.581,0.031,-0.986,0,-1.204,0,-2.279,0,-1.07,0
-2.339,200.599,-2.158,0.062,-2.369,0.031,-0.796,0,-1.014,0,-2.097,0.001,-0.708,0
-2.158,212.575,-1.977,0.062,-2.188,0.03,-0.633,0,-0.824,0,-1.886,0,-0.406,0
-1.946,221.557,-1.735,0.061,-1.977,0.031,-0.471,0,-0.661,0,-1.674,0.001,-0.104,-0.001
-1.765,233.533,-1.554,0.061,-1.765,0.031,-0.308,0,-0.498,0,-1.463,0.001,0.198,0
-1.554,245.509,-1.312,0.062,-1.554,0.031,-0.118,0,-0.335,0,-1.221,0.001,0.56,0
-1.372,260.479,-1.07,0.061,-1.372,0.031,0.045,0,-0.145,0,-1.07,0.002,0.862,0.001
-1.191,272.455,-0.859,0.061,-1.161,0.031,0.208,0,0.018,0,-0.829,0.002,1.134,0.002
-1.01,290.419,-0.678,0.062,-1.04,0.03,0.371,0,0.181,0,-0.678,0.001,1.376,0.002
-0.829,302.395,-0.466,0.062,-0.799,0.031,0.561,0,0.398,0,-0.497,0,1.648,0.002
-0.678,320.359,-0.225,0.063,-0.617,0.031,0.724,0.001,0.588,0,-0.285,0,1.859,0.002
-0.527,338.323,-0.013,0.063,-0.436,0.031,0.887,0.002,0.751,0,-0.104,0,2.101,0.002
-0.406,356.287,0.138,0.061,-0.225,0.031,1.077,0.003,0.914,0.001,0.077,0,2.342,0.002
-0.285,371.257,0.319,0.06,-0.044,0.031,1.24,0.004,1.05,0.001,0.258,0.002,2.523,0.002
-0.164,392.216,0.44,0.059,0.138,0.03,1.376,0.006,1.186,0.003,0.379,0.004,2.735,0.002
-0.044,416.168,0.591,0.058,0.289,0.029,1.538,0.008,1.376,0.004,0.53,0.006,2.916,0.002
0.047,437.126,0.711,0.057,0.44,0.028,1.674,0.01,1.538,0.006,0.681,0.009,3.097,0.002
0.138,458.084,0.862,0.055,0.56,0.026,1.783,0.011,1.674,0.007,0.832,0.011,3.339,0.002
0.198,482.036,1.013,0.054,0.681,0.024,1.919,0.013,1.81,0.009,0.983,0.013,3.55,0.002
0.289,505.988,1.104,0.053,0.772,0.022,2.054,0.015,1.946,0.01,1.074,0.015,3.762,0.002
0.349,529.94,1.195,0.051,0.862,0.021,2.136,0.017,2.081,0.012,1.195,0.018,3.973,0.002
0.44,550.898,1.315,0.049,0.923,0.019,2.244,0.019,2.163,0.014,1.346,0.02,4.185,0.002
0.5,574.85,1.466,0.048,1.044,0.017,2.299,0.02,2.244,0.016,1.466,0.022,4.426,0.002
0.56,595.808,1.587,0.046,1.104,0.014,2.434,0.023,2.299,0.018,1.648,0.024,4.638,0.002
0.651,616.766,1.738,0.045,1.225,0.013,2.516,0.025,2.38,0.021,1.859,0.025,4.849,0.002
