Distance (mm),Temperature (K),O2 (mol/min),CH4 (mol/min),H2 (mol/min),CO (mol/min),CO2 (mol/min),H2O (mol/min)
6.0,402.60219915695956,0.030659510655090746,0.06199999999999996,0.0,0.0,0.0,-4.5872083682903974e-05
6.19,407.5140761424839,0.03018516179952642,0.06199999999999996,0.0,0.0,0.0,0.0002941789686010615
6.38,414.3582454301749,0.03022541436464086,0.06199999999999996,0.0,0.0,0.0,0.0003938086358894036
6.57,420.68095315184536,0.03073291239147591,0.06207663197729418,0.0,0.0,0.0,0.000183877218103195
6.76,429.4635295374276,0.031085714285714265,0.06177918637653733,0.0,0.0,0.0,0.0002042531012196386
6.95,439.1697652433412,0.03099999999999998,0.06123467562223404,0.0,0.0,0.0,0.0007528018942383574
7.140000000000001,448.4333644733307,0.03099999999999998,0.06116063525940801,0.0,0.0,0.0,0.001167166535122337
7.33,456.457612871733,0.031037411207576932,0.06166701789469432,0.0,0.0,-3.8767042086544126e-05,0.0007401736385161811
7.52,466.1003584286976,0.030900321317288645,0.062038591740013506,0.0,0.0,6.935388263189033e-05,0.00017094720591168965
7.71,476.99019031063926,0.030588138566677994,0.06203551145106505,0.0,0.0,0.0004768227622999398,0.00024221543315271346
7.9,487.5174635138276,0.03056721366664545,0.06199079102715462,0.0,0.0,0.0008979253112033187,0.00044959007217026476
8.09,497.90495509044797,0.030837546617191017,0.061599881936245535,0.0,0.0,0.0010469472436277411,0.0005752021001826214
8.280000000000001,508.5117016495806,0.031049966147596458,0.061120425029515896,0.0,0.0,0.00100063025210084,0.0005921628632605776
8.47,521.4363932942272,0.031007792207792186,0.06126103896103892,0.0,0.0,0.0010579831932773095,0.0009612685188890322
8.66,534.9437441671407,0.03102609257961953,0.06157685950413219,0.0,0.0,0.0008401260504201664,0.0010940950714910464
8.85,550.4672298382974,0.03072679851269061,0.0614131070335992,0.0,0.0,0.0003974789915966375,0.001519016083254493
9.04,565.7437309773827,0.030644349841030313,0.061120417202084665,0.0,0.0,1.5756302521008437e-05,0.0019022271936106005
9.23,583.5673486482493,0.030778746564638658,0.06144060921124633,0.0,0.0,-2.0668929823585107e-05,0.0014985652085282495
9.42,605.0741652870959,0.03105726141078836,0.061933850995752326,0.0,0.0,4.0302743614002156e-05,0.0006030525253897943
9.61,630.4719794204586,0.03101601255886968,0.062457287515059634,0.0,0.0,-0.00020056764427625352,1.9284224611508538e-05
9.8,659.6711319718688,0.031045505109838105,0.06302867267913645,0.0,0.0,-0.0005805108798486289,-0.00013685872138910845
9.99,697.6875120770134,0.030688448542942375,0.06256738221837564,0.0,0.0,-0.0005842951750236536,6.010684443632521e-05
10.18,748.361173815275,0.02987407653840953,0.06114013377563787,0.0,0.0,-0.00020662251655629278,0.00130785322460577
10.370000000000001,807.8280608683114,0.028361512470500148,0.05949093230537673,-9.938650306748468e-05,0.0,-1.5326395458846373e-05,0.0036725465420054814
10.56,867.3619875157624,0.02594407211434818,0.05818512402741895,0.0002022076664052756,-8.571428571428585e-05,0.00011051950581557056,0.006760241668915475
10.75,927.5757721491618,0.022631479400448164,0.05647034834950888,0.0010595304211448873,0.00015630252100840453,0.0005765902387445053,0.009603865610608532
10.940000000000001,980.9756374372694,0.018318787705800678,0.05461846195431812,0.002200818411962781,0.00091433878814683,0.0013499485224553389,0.012805455952837028
11.129999999999999,1030.9867407427228,0.014341141717145827,0.05204060499576106,0.003415746636328983,0.00218571985519353,0.0018658216929155749,0.016184118487515733
11.32,1070.823971723205,0.011102953157619014,0.049418496357001525,0.005205750111631739,0.0037660546791816064,0.0020560924369747865,0.019730809227710314
11.51,1108.4092863382805,0.009102327524691069,0.04711414696939764,0.00764021259463012,0.005539449495197684,0.00200126050420168,0.022410444984266385
11.7,1137.1255671464555,0.007197410934567206,0.045286667800248225,0.010124497139299755,0.007466838010057816,0.0019999999999999983,0.024145618896831395
11.89,1163.5214072936255,0.005481606966448353,0.04252695813690048,0.012652599903929054,0.009360318026200375,0.0019999999999999983,0.025249686381713463
12.08,1182.6273290401941,0.0036371728597040485,0.03868052222998466,0.015677643790403314,0.012360048504991833,0.0019999999999999983,0.026998983466468177
12.27,1198.265008122487,0.0023873999696838225,0.034998266668396505,0.019513193090983608,0.017022685779036574,0.0019999999999999983,0.028817005275783666
12.46,1211.0483626470432,0.0019359440091575742,0.03306410861865405,0.023666245083165706,0.02217564881176745,0.0019999999999999983,0.02934387821946987
12.65,1223.3522487768746,0.0019801104972375677,0.03283530106257377,0.026916412708549612,0.025652386571047,0.0019999999999999983,0.028205055506805982
12.84,1233.7702692719686,0.0019999999999999983,0.03333754427390789,0.028990239666907176,0.026993151582127742,0.0019999999999999983,0.02689201020515657
13.030000000000001,1241.1855761621175,0.002019415943172848,0.03386885711690905,0.030547532445332006,0.026931654379543212,0.0019999999999999983,0.02549373498935058
